word,count
fairest,41
creatures,41
desire,218
increase,28
thereby,26
beautys,30
rose,64
might,496
never,1011
die,474
riper,3
decease,6
his,6857
tender,138
heir,108
bear,534
memory,58
thou,5485
contracted,11
thine,455
own,771
bright,68
eyes,690
feedst,3
thy,4032
lights,28
flame,23
selfsubstantial,1
fuel,5
making,81
famine,12
where,1232
abundance,13
lies,245
self,138
foe,62
sweet,789
cruel,70
art,915
worlds,53
fresh,87
ornament,18
herald,58
gaudy,6
spring,59
bud,14
buriest,1
content,157
churl,9
makst,22
waste,44
niggarding,1
pity,217
glutton,3
eat,142
due,76
grave,177
thee,3178
forty,28
winters,33
shall,3591
besiege,10
brow,69
dig,10
deep,136
trenches,8
field,187
youths,10
livery,21
gazed,1
tattered,3
weed,18
worth,204
held,84
being,662
asked,4
beauty,201
treasure,51
lusty,34
say,1680
sunken,3
were,1577
alleating,1
shame,302
thriftless,4
praise,182
much,1035
deserved,19
couldst,30
answer,380
fair,757
child,232
mine,1161
sum,56
my,12480
count,107
make,1629
old,711
excuse,78
proving,1
succession,17
blood,639
warm,44
feelst,1
cold,195
glass,56
tell,1059
face,416
viewest,2
another,430
whose,615
repair,45
renewest,1
dost,429
beguile,24
unbless,1
mother,360
she,2208
uneared,1
womb,53
disdains,6
tillage,1
husbandry,14
he,6251
fond,56
tomb,54
selflove,7
stop,95
posterity,11
mothers,93
calls,92
back,335
lovely,53
april,15
her,3843
prime,17
through,261
windows,19
age,197
shalt,295
despite,52
wrinkles,14
golden,91
live,513
remembered,5
single,58
image,46
dies,102
unthrifty,5
loveliness,2
why,1465
spend,66
upon,1731
legacy,5
natures,66
bequest,1
gives,147
nothing,633
doth,939
lend,93
frank,11
lends,13
beauteous,39
niggard,8
abuse,46
bounteous,18
largess,5
given,191
profitless,3
usurer,9
great,899
sums,17
yet,1569
canst,173
having,155
traffic,10
alone,236
deceive,28
nature,344
gone,464
acceptable,1
audit,9
leave,651
unused,5
tombed,1
lives,204
executor,2
gentle,366
did,1626
frame,46
gaze,27
every,491
eye,418
dwell,39
play,303
tyrants,20
very,813
same,218
unfair,1
fairly,46
excel,6
neverresting,1
leads,32
summer,54
hideous,22
winter,47
confounds,11
him,5192
there,1808
sap,12
checked,2
frost,12
leaves,70
quite,86
oersnowed,1
bareness,4
summers,37
distillation,2
left,245
liquid,9
prisoner,81
pent,8
walls,85
bereft,17
remembrance,63
was,2229
flowers,47
distilled,5
though,628
they,2471
meet,324
leese,1
show,416
substance,41
still,552
let,2099
ragged,23
hand,838
deface,4
ere,359
vial,5
place,430
selfkilled,1
forbidden,5
usury,4
happies,1
pay,138
willing,39
loan,3
thats,399
breed,49
times,236
happier,17
refigured,1
could,623
death,858
shouldst,75
depart,65
leaving,25
living,120
selfwilled,1
deaths,50
conquest,31
worms,23
lo,74
orient,5
gracious,195
light,264
lifts,5
burning,45
head,514
homage,17
newappearing,2
sight,199
serving,7
looks,214
sacred,47
majesty,256
climbed,1
steepup,1
heavenly,54
hill,40
resembling,4
strong,185
youth,277
middle,21
mortal,96
adore,14
attending,43
pilgrimage,16
highmost,2
pitch,32
weary,76
car,35
feeble,37
reeleth,1
fore,31
duteous,11
converted,7
low,96
tract,4
way,562
outgoing,1
noon,17
unlooked,2
diest,22
unless,153
son,691
music,201
hear,871
hearst,10
sadly,18
sweets,16
war,252
joy,191
delights,20
lovst,26
receivst,2
gladly,16
pleasure,179
annoy,8
true,792
concord,9
welltuned,1
sounds,47
unions,1
married,149
offend,59
ear,191
sweetly,27
chide,49
singleness,2
parts,112
mark,226
string,6
husband,291
strikes,47
mutual,15
ordering,3
sire,18
happy,202
pleasing,22
sing,139
speechless,13
song,79
seeming,57
sings,91
wilt,307
prove,252
none,467
fear,625
wet,19
widows,19
consumst,1
life,834
ah,183
issueless,2
hap,26
wail,23
makeless,1
wife,510
widow,110
weep,163
hast,585
behind,118
private,66
well,2462
keep,477
childrens,13
husbands,63
shape,87
mind,357
unthrift,3
shifts,7
enjoys,7
hath,1941
kept,97
user,1
destroys,2
love,2053
toward,103
bosom,125
sits,59
himself,451
murdrous,11
commits,5
deny,133
bearst,7
unprovident,1
grant,109
beloved,29
evident,7
possessed,5
hate,177
gainst,101
stickst,3
conspire,8
seeking,24
roof,16
ruinate,2
chief,108
change,155
thought,375
i,20682
fairer,38
lodged,5
presence,106
kindhearted,1
me,7768
fast,129
wane,2
growst,3
departest,1
youngly,2
bestowst,1
mayst,68
convertest,1
herein,29
wisdom,93
without,364
folly,79
decay,24
minded,10
cease,47
threescore,7
whom,423
store,38
harsh,27
featureless,1
rude,71
barrenly,1
perish,31
best,459
endowed,2
gave,229
gift,65
bounty,40
cherish,18
carved,6
seal,66
meant,49
clock,38
tells,44
brave,160
sunk,4
night,630
behold,158
violet,8
past,146
sable,3
curls,4
silvered,1
oer,203
white,127
lofty,17
trees,32
barren,40
erst,6
heat,65
canopy,10
herd,15
green,104
girded,2
sheaves,1
borne,79
bier,6
bristly,1
beard,95
question,149
among,93
wastes,4
beauties,13
themselves,158
forsake,25
grow,137
scythe,6
defence,37
save,211
takes,109
hence,366
longer,112
yours,255
here,2114
against,595
coming,154
prepare,65
semblance,19
lease,9
find,527
determination,6
again,768
after,405
selfs,4
issue,110
lets,278
house,538
fall,299
honour,569
uphold,5
stormy,4
gusts,7
rage,121
eternal,38
unthrifts,2
dear,447
know,1647
had,1427
father,836
stars,70
judgement,16
pluck,107
methinks,152
astronomy,1
good,2812
evil,62
luck,26
plagues,14
dearths,1
seasons,13
quality,55
fortune,314
brief,91
minutes,20
pointing,8
thunder,62
rain,60
wind,176
princes,132
oft,149
predict,1
heaven,613
knowledge,78
derive,11
constant,48
truth,330
together,256
thrive,56
wouldst,133
convert,9
prognosticate,1
truths,14
doom,49
consider,49
thing,355
grows,77
holds,82
perfection,25
little,480
moment,31
huge,35
stage,37
presenteth,4
nought,57
shows,103
whereon,30
secret,63
influence,10
perceive,90
men,853
plants,13
cheered,2
selfsame,24
sky,39
vaunt,2
youthful,31
height,34
decrease,2
wear,200
state,305
out,1376
conceit,41
inconstant,11
stay,426
sets,28
rich,167
before,835
wasteful,9
debateth,1
sullied,2
engraft,1
wherefore,139
mightier,7
bloody,224
tyrant,49
fortify,7
means,264
blessed,77
rhyme,34
stand,567
top,51
maiden,42
gardens,4
unset,1
virtuous,95
liker,3
painted,52
counterfeit,52
lines,34
pencil,4
pupil,11
pen,39
inward,28
outward,49
keeps,75
drawn,85
skill,48
believe,233
verse,31
come,2507
filled,4
high,231
deserts,21
knows,213
hides,19
half,206
numbers,43
graces,67
poet,59
touches,26
neer,216
touched,3
earthly,32
faces,54
papers,16
yellowed,1
scorned,3
tongue,397
termed,2
poets,11
stretched,1
metre,3
antique,15
alive,90
twice,70
compare,25
temperate,9
rough,68
winds,49
shake,101
darling,5
buds,14
short,94
sometime,76
hot,254
shines,29
gold,217
complexion,40
dimmed,1
declines,4
chance,104
changing,12
course,157
untrimmed,2
fade,6
lose,207
possession,33
owst,4
brag,13
wandrest,1
shade,25
breathe,64
devouring,6
blunt,67
lions,43
paws,3
earth,300
devour,11
brood,8
keen,23
teeth,56
fierce,40
tigers,12
jaws,11
burn,78
longlived,1
phoenix,14
glad,124
sorry,92
fleetst,1
whateer,26
swiftfooted,1
wide,55
fading,6
forbid,74
heinous,17
crime,12
carve,10
loves,286
draw,207
untainted,5
pattern,14
succeeding,8
worst,105
wrong,228
young,462
womans,84
master,764
mistress,450
passion,106
heart,985
acquainted,39
shifting,2
false,289
womens,21
fashion,99
theirs,31
rolling,4
gilding,2
object,39
whereupon,14
gazeth,1
man,1835
hue,27
hues,1
controlling,5
steals,15
mens,92
souls,132
amazeth,1
woman,321
wert,96
created,17
till,617
wrought,41
fell,127
adoting,1
defeated,4
adding,9
pricked,1
muse,31
stirred,1
rehearse,14
couplement,2
sun,222
moon,126
seas,46
gems,4
aprils,3
firstborn,7
things,336
rare,57
heavens,177
air,184
rondure,1
hems,2
truly,172
candles,7
fixed,17
hearsay,2
sell,39
persuade,30
am,2168
furrows,1
expiate,2
cover,30
seemly,2
raiment,8
breast,97
elder,40
therefore,626
thyself,194
wary,11
bearing,70
chary,1
nurse,204
babe,37
faring,1
ill,1972
presume,22
slain,125
gavst,14
unperfect,1
actor,12
put,494
beside,34
part,506
replete,8
strengths,8
weakens,2
trust,175
forget,92
perfect,54
ceremony,28
rite,9
strength,119
seem,175
oercharged,2
burthen,6
eloquence,11
dumb,40
presagers,1
speaking,47
plead,48
recompense,27
expressed,4
learn,91
silent,36
writ,100
belongs,18
fine,94
wit,260
played,7
painter,44
stelled,1
table,55
body,256
wherein,132
tis,1405
perspective,3
painters,1
pictured,1
bosoms,30
shop,13
hanging,38
glazed,3
turns,55
done,650
wherethrough,1
peep,16
therein,56
cunning,75
grace,576
favour,118
boast,34
whilst,115
triumph,45
bars,14
favourites,7
spread,26
marigold,2
suns,19
pride,111
buried,57
frown,46
glory,85
painful,8
warrior,14
famoused,1
fight,277
victories,5
once,419
foiled,1
book,92
razed,3
rest,344
forgot,89
toiled,1
remove,31
removed,19
lord,3059
vassalage,2
merit,50
duty,151
strongly,29
knit,32
embassage,6
witness,125
poor,626
bare,56
wanting,21
words,423
hope,354
naked,52
bestow,49
whatsoever,15
star,43
guides,9
moving,18
points,31
graciously,5
aspect,26
puts,54
apparel,40
loving,115
worthy,222
respect,100
dare,208
toil,29
haste,157
